SPAN	CHARACTER	START OFFSET	END OFFSET	CHAPTER #	PASSAGE #
them	Kitty	202053	202057	21	4
them	Elizabeth	202053	202057	21	4
she	Elizabeth	202082	202085	21	4
herself	Elizabeth	202124	202131	21	4
him	Mr. Wickham	202190	202193	21	4
father	Mr. Bennet	202201	202207	21	4
mother	Mrs. Bennet	202212	202218	21	4
Miss Bennet	Jane	202272	202283	21	4
lady	Miss Bingley	202401	202405	21	4
Elizabeth	Elizabeth	202432	202441	21	4
sister	Jane	202450	202456	21	4
she	Jane	202481	202484	21	4
her	Jane	202502	202505	21	4
Jane	Jane	202553	202557	21	4
herself	Jane	202570	202577	21	4
Elizabeth	Elizabeth	202688	202697	21	4
Wickham	Mr. Wickham	202768	202775	21	4
he	Mr. Wickham	202795	202797	21	4
companion	officer (1)	202806	202815	21	4
Jane	Jane	202848	202852	21	4
her	Elizabeth	202861	202864	21	4
her	Jane	202875	202878	21	4
they	Elizabeth	202895	202899	21	4
they	Jane	202895	202899	21	4
Jane	Jane	202927	202931	21	4
Caroline Bingley	Miss Bingley	202977	202993	21	4
me	Jane	203026	203028	21	4
party	Miss Bingley	203052	203057	21	4
party	Mrs. Hurst	203052	203057	21	4
party	Mr. Hurst	203052	203057	21	4
party	Mr. Bingley	203052	203057	21	4
party	Mr. Darcy	203052	203057	21	4
You	Elizabeth	203172	203175	21	4
she	Miss Bingley	203192	203195	21	4
She	Jane	203204	203207	21	4
brother	Mr. Bingley	203322	203329	21	4
Mr. Hurst	Mr. Hurst	203404	203413	21	4
I	Miss Bingley	203457	203458	21	4
I	Miss Bingley	203493	203494	21	4
friend	Jane	203557	203563	21	4
we	Miss Bingley	203569	203571	21	4
I	Miss Bingley	203784	203785	21	4
you	Jane	203796	203799	21	4
Elizabeth	Elizabeth	203842	203851	21	4
her	Elizabeth	203954	203957	21	4
she	Elizabeth	203959	203962	21	4
Mr. Bingley	Mr. Bingley	204075	204086	21	4
she	Elizabeth	204139	204142	21	4
Jane	Jane	204162	204166	21	4
we	Jane	203659	203661	21	4
we	Jane	203569	203571	21	4
we	Miss Bingley	203659	203661	21	4
she	Elizabeth	204240	204243	21	8
you	Jane	204272	204275	21	8
friends	Miss Bingley	204307	204314	21	8
friends	Mrs. Hurst	204307	204314	21	8
they	Miss Bingley	204322	204326	21	8
they	Mrs. Hurst	204322	204326	21	8
Miss Bingley	Miss Bingley	204411	204423	21	8
she	Miss Bingley	204462	204465	21	8
you	Miss Bingley	204512	204515	21	8
you	Jane	204512	204515	21	8
you	Mrs. Hurst	204512	204515	21	8
friends	Miss Bingley	204530	204537	21	8
friends	Jane	204530	204537	21	8
friends	Mrs. Hurst	204530	204537	21	8
sisters	Miss Bingley	204587	204594	21	8
sisters	Jane	204587	204594	21	8
sisters	Mrs. Hurst	204587	204594	21	8
Mr. Bingley	Mr. Bingley	204596	204607	21	8
we	Elizabeth	204354	204356	21	8
we	Jane	204354	204356	21	8
them	Miss Bingley	204642	204646	21	8
them	Mrs. Hurst	204642	204646	21	8
them	Mr. Hurst	204642	204646	21	8
Caroline	Miss Bingley	204651	204659	21	8
party	Miss Bingley	204692	204697	21	8
party	Mr. Hurst	204692	204697	21	8
party	Mrs. Hurst	204692	204697	21	8
party	Mr. Bingley	204692	204697	21	8
party	Mr. Darcy	204692	204697	21	8
I	Jane	204742	204743	21	8
you	Elizabeth	204760	204763	21	8
brother	Mr. Bingley	204776	204783	21	8
us	Mrs. Hurst	204789	204791	21	8
us	Mr. Hurst	204789	204791	21	8
us	Mr. Darcy	204789	204791	21	8
us	Miss Bingley	204789	204791	21	8
he	Mr. Bingley	204803	204805	21	8
him	Mr. Bingley	204844	204847	21	8
we	Mr. Hurst	204907	204909	21	8
we	Mrs. Hurst	204907	204909	21	8
we	Mr. Darcy	204907	204909	21	8
we	Miss Bingley	204907	204909	21	8
Charles	Mr. Bingley	204980	204987	21	8
he	Mr. Bingley	205001	205003	21	8
we	Miss Bingley	205043	205045	21	8
we	Mr. Hurst	205043	205045	21	8
we	Mrs. Hurst	205043	205045	21	8
we	Mr. Darcy	205043	205045	21	8
him	Mr. Bingley	205075	205078	21	8
he	Mr. Bingley	205093	205095	21	8
acquaintances	OTHER	205176	205189	21	8
I	Miss Bingley	205224	205225	21	8
I	Miss Bingley	205236	205237	21	8
you	Jane	205254	205257	21	8
friend	Jane	205270	205276	21	8
one	Jane	205306	205309	21	8
crowd	OTHER	205317	205322	21	8
crowd	Miss Bingley	205317	205322	21	8
crowd	Mrs. Hurst	205317	205322	21	8
crowd	Mr. Hurst	205317	205322	21	8
crowd	Mr. Bingley	205317	205322	21	8
crowd	Mr. Darcy	205317	205322	21	8
I	Miss Bingley	205336	205337	21	8
I	Miss Bingley	205347	205348	21	8
beaux	NON-CHARACTER	205473	205478	21	8
three	Miss Bingley	205542	205547	21	8
three	Mrs. Hurst	205542	205547	21	8
three	Mr. Bingley	205542	205547	21	8
whom	Miss Bingley	205551	205555	21	8
whom	Mrs. Hurst	205551	205555	21	8
whom	Mr. Bingley	205551	205555	21	8
we	Miss Bingley	205556	205558	21	8
we	Mrs. Hurst	205556	205558	21	8
we	Mr. Bingley	205556	205558	21	8
you	Jane	205573	205576	21	8
Jane	Jane	205611	205615	21	8
he	Mr. Bingley	205623	205625	21	8
them	Mr. Darcy	204642	204646	21	8
Miss Bingley	Miss Bingley	205685	205697	21	12
he	Mr. Bingley	205717	205719	21	12
He	Mr. Bingley	205780	205782	21	12
master	Mr. Bingley	205794	205800	21	12
you	Elizabeth	205740	205743	21	12
you	Elizabeth	205806	205809	21	12
I	Jane	205827	205828	21	12
you	Elizabeth	205839	205842	21	12
me	Jane	205880	205882	21	12
I	Jane	205884	205885	21	12
you	Elizabeth	205913	205916	21	12
Mr. Darcy	Mr. Darcy	205921	205930	21	12
sister	Miss Darcy	205955	205961	21	12
we	Miss Bingley	205990	205992	21	12
we	Mrs. Hurst	205990	205992	21	12
we	Mr. Hurst	205990	205992	21	12
we	Mr. Bingley	205990	205992	21	12
her	Miss Darcy	206025	206028	21	12
I	Miss Bingley	206036	206037	21	12
Georgiana Darcy	Miss Darcy	206058	206073	21	12
she	Miss Darcy	206149	206152	21	12
Louisa	Mrs. Hurst	206165	206171	21	12
myself	Miss Bingley	206176	206182	21	12
we	Mrs. Hurst	206250	206252	21	12
we	Miss Bingley	206250	206252	21	12
sister	Miss Darcy	206295	206301	21	12
I	Miss Bingley	206303	206304	21	12
I	Miss Bingley	206325	206326	21	12
you	Jane	206352	206355	21	12
I	Miss Bingley	206389	206390	21	12
I	Miss Bingley	206446	206447	21	12
you	Jane	206454	206457	21	12
brother	Mr. Bingley	206496	206503	21	12
her	Miss Darcy	206512	206515	21	12
he	Mr. Bingley	206533	206535	21	12
her	Miss Darcy	206581	206584	21	12
sister	Miss Bingley	206679	206685	21	12
me	Miss Bingley	206717	206719	21	12
I	Miss Bingley	206721	206722	21	12
I	Miss Bingley	206735	206736	21	12
Charles	Mr. Bingley	206742	206749	21	12
woman	NON-CHARACTER	206779	206784	21	12
I	Miss Bingley	206878	206879	21	12
Jane	Jane	206898	206902	21	12
many	???	206976	206980	21	12
many	OTHER	206976	206980	21	12
many	Miss Bingley	206976	206980	21	12
many	Mrs. Hurst	206976	206980	21	12
you	Elizabeth	206993	206996	21	12
Lizzy	Elizabeth	207029	207034	21	12
Jane	Jane	207042	207046	21	12
she	Jane	207050	207053	21	12
Caroline	Miss Bingley	207127	207135	21	12
me	Jane	207163	207165	21	12
sister	Jane	207176	207182	21	12
she	Miss Bingley	207189	207192	21	12
brother	Mr. Bingley	207223	207230	21	12
she	Miss Bingley	207259	207262	21	12
him	Mr. Bingley	207302	207305	21	12
she	Miss Bingley	207307	207310	21	12
me	Jane	207339	207341	21	12
relations	???	206619	206628	21	12
relations	OTHER	206619	206628	21	12
own	???	206668	206671	21	12
own	OTHER	206668	206671	21	12
own	Miss Bingley	206668	206671	21	12
own	Mrs. Hurst	206668	206671	21	12
you	Jane	207457	207460	21	16
You	Jane	207492	207495	21	16
Miss Bingley	Miss Bingley	207526	207538	21	16
brother	Mr. Bingley	207553	207560	21	16
you	Jane	207577	207580	21	16
him	Mr. Bingley	207592	207595	21	16
Miss Darcy	Miss Darcy	207605	207615	21	16
She	Miss Bingley	207617	207620	21	16
him	Mr. Bingley	207629	207632	21	16
him	Mr. Bingley	207660	207663	21	16
you	Jane	207693	207696	21	16
he	Mr. Bingley	207702	207704	21	16
you	Jane	207725	207728	21	16
Jane	Jane	207732	207736	21	16
Jane	Jane	207763	207767	21	16
you	Jane	207769	207772	21	16
me	Elizabeth	207790	207792	21	16
you	Jane	207819	207822	21	16
you	Mr. Bingley	207819	207822	21	16
Miss Bingley	Miss Bingley	207857	207869	21	16
I	Elizabeth	207871	207872	21	16
She	Miss Bingley	207890	207893	21	16
simpleton	Miss Bingley	207908	207917	21	16
she	Miss Bingley	207925	207928	21	16
"Mr.
Darcy"	Mr. Darcy	207960	207969	21	16
herself	Miss Bingley	207974	207981	21	16
she	Miss Bingley	207983	207986	21	16
We	Elizabeth	208049	208051	21	16
We	Jane	208049	208051	21	16
We	Mrs. Bennet	208049	208051	21	16
We	Mr. Bennet	208049	208051	21	16
We	Kitty	208049	208051	21	16
We	Lydia	208049	208051	21	16
We	Mary	208049	208051	21	16
them	Miss Bingley	208092	208096	21	16
them	???	208092	208096	21	16
she	Miss Bingley	208102	208105	21	16
Miss Darcy	Miss Darcy	208133	208143	21	16
brother	Mr. Bingley	208152	208159	21	16
she	Miss Bingley	208221	208224	21	16
I	Elizabeth	208318	208319	21	16
Miss de Bourgh	Miss de Bourgh	208350	208364	21	16
Jane	Jane	208402	208406	21	16
you	Jane	208408	208411	21	16
Miss Bingley	Miss Bingley	208450	208462	21	16
you	Jane	208469	208472	21	16
brother	Mr. Bingley	208477	208484	21	16
Miss Darcy	Miss Darcy	208501	208511	21	16
he	Mr. Bingley	208513	208515	21	16
he	Mr. Bingley	208580	208582	21	16
you	Jane	208597	208600	21	16
him	Mr. Bingley	208657	208660	21	16
you	Jane	208697	208700	21	16
he	Mr. Bingley	208702	208704	21	16
friend	Miss Darcy	208735	208741	21	16
them	Mrs. Hurst	208092	208096	21	16
we	Jane	208749	208751	21	21
we	Elizabeth	208749	208751	21	21
Miss Bingley	Miss Bingley	208769	208781	21	21
Jane	Jane	208792	208796	21	21
me	Jane	208842	208844	21	21
I	Jane	208861	208862	21	21
Caroline	Miss Bingley	208894	208902	21	21
I	Jane	208959	208960	21	21
she	Miss Bingley	208991	208994	21	21
herself	Miss Bingley	209008	209015	21	21
You	Jane	209035	209038	21	21
you	Jane	209087	209090	21	21
her	Miss Bingley	209130	209133	21	21
You	Jane	209164	209167	21	21
her	Miss Bingley	209195	209198	21	21
sister	Elizabeth	209241	209247	21	21
I	Jane	209253	209254	21	21
man	Mr. Bingley	209305	209308	21	21
sisters	Mrs. Hurst	209315	209322	21	21
sisters	Miss Bingley	209315	209322	21	21
friends	???	209327	209334	21	21
friends	OTHER	209327	209334	21	21
friends	Mr. Darcy	209327	209334	21	21
him	Mr. Bingley	209351	209354	21	21
You	Jane	209378	209381	21	21
yourself	Jane	209398	209406	21	21
Elizabeth	Elizabeth	209414	209423	21	21
you	Jane	209460	209463	21	21
sisters	Mrs. Hurst	209508	209515	21	21
sisters	Miss Bingley	209508	209515	21	21
wife	Jane	209570	209574	21	21
I	Elizabeth	209576	209577	21	21
you	Jane	209585	209588	21	21
him	Mr. Bingley	209612	209615	21	21
you	Elizabeth	209628	209631	21	21
Jane	Jane	209647	209651	21	21
You	Elizabeth	209671	209674	21	21
I	Jane	209697	209698	21	21
I	Jane	209754	209755	21	21
I	Elizabeth	209779	209780	21	21
you	Jane	209795	209798	21	21
I	Elizabeth	209831	209832	21	21
he	Mr. Bingley	209896	209898	21	21
Elizabeth	Elizabeth	210041	210050	21	21
her	Elizabeth	210100	210103	21	21
Caroline	Miss Bingley	210129	210137	21	21
she	Elizabeth	210163	210166	21	21
man	Mr. Bingley	210276	210279	21	21
everyone	NON-CHARACTER	210306	210314	21	21
friends	Mr. Hurst	209327	209334	21	21
She	Elizabeth	210317	210320	21	29
sister	Jane	210340	210346	21	29
she	Elizabeth	210376	210379	21	29
Jane	Jane	210455	210459	21	29
she	Jane	210493	210496	21	29
Bingley	Mr. Bingley	210593	210600	21	29
They	Elizabeth	210666	210670	21	29
They	Jane	210666	210670	21	29
Mrs. Bennet	Mrs. Bennet	210683	210694	21	29
family	Miss Bingley	210736	210742	21	29
family	Mr. Bingley	210736	210742	21	29
family	Mrs. Hurst	210736	210742	21	29
family	Mr. Hurst	210736	210742	21	29
gentleman	Mr. Bingley	210786	210795	21	29
ladies	Miss Bingley	210929	210935	21	29
ladies	Mrs. Hurst	210929	210935	21	29
they	Jane	210969	210973	21	29
they	Miss Bingley	210969	210973	21	29
"Mr.
Bingley"	Mr. Bingley	211087	211098	21	29
he	Mr. Bingley	211225	211227	21	29
her	Mrs. Bennet	210848	210851	21	29
she	Mrs. Bennet	210881	210884	21	29
they	Mrs. Hurst	210969	210973	21	29
she	Mrs. Bennet	211058	211061	21	29
she	Mrs. Bennet	211270	211273	21	29
they	???	210969	210973	21	29
Bennets	Mrs. Bennet	211321	211328	22	0
Bennets	Mr. Bennet	211321	211328	22	0
Bennets	Kitty	211321	211328	22	0
Bennets	Lydia	211321	211328	22	0
Bennets	Mary	211321	211328	22	0
Bennets	Jane	211321	211328	22	0
Bennets	Elizabeth	211321	211328	22	0
Lucases	Charlotte Lucas	211359	211366	22	0
Lucases	Maria Lucas	211359	211366	22	0
Lucases	Lucas	211359	211366	22	0
Lucases	Sir William Lucas	211359	211366	22	0
Lucases	OTHER	211359	211366	22	0
Lucases	Lady Lucas	211359	211366	22	0
Miss Lucas	Charlotte Lucas	211409	211419	22	0
Mr. Collins	Mr. Collins	211444	211455	22	0
Elizabeth	Elizabeth	211457	211466	22	0
her	Charlotte Lucas	211499	211502	22	0
him	Mr. Collins	211514	211517	22	0
she	Elizabeth	211540	211543	22	0
I	Elizabeth	211550	211551	22	0
you	Charlotte Lucas	211571	211574	22	0
I	Elizabeth	211580	211581	22	0
Charlotte	Charlotte Lucas	211596	211605	22	0
friend	Elizabeth	211618	211624	22	0
her	Charlotte Lucas	211687	211690	22	0
Charlotte	Charlotte Lucas	211756	211765	22	0
Elizabeth	Elizabeth	211799	211808	22	0
her	Elizabeth	211875	211878	22	0
Mr. Collins	Mr. Collins	211898	211909	22	0
herself	Charlotte Lucas	211948	211955	22	0
Miss Lucas	Charlotte Lucas	211966	211976	22	0
they	Charlotte Lucas	212033	212037	22	0
they	Mr. Collins	212033	212037	22	0
she	Charlotte Lucas	212055	212058	22	0
he	Mr. Collins	212103	212105	22	0
she	Charlotte Lucas	212165	212168	22	0
him	Mr. Collins	212241	212244	22	0
himself	Mr. Collins	212354	212361	22	0
He	Mr. Collins	212375	212377	22	0
cousins	Elizabeth	212417	212424	22	0
cousins	Jane	212417	212424	22	0
cousins	Mary	212417	212424	22	0
cousins	Lydia	212417	212424	22	0
cousins	Kitty	212417	212424	22	0
cousins	Mr. Bennet	212417	212424	22	0
cousins	Mrs. Bennet	212417	212424	22	0
they	Elizabeth	212452	212456	22	0
they	Jane	212452	212456	22	0
they	Mary	212452	212456	22	0
they	Lydia	212452	212456	22	0
they	Kitty	212452	212456	22	0
they	Mr. Bennet	212452	212456	22	0
they	Mrs. Bennet	212452	212456	22	0
him	Mr. Collins	212461	212464	22	0
they	Elizabeth	212473	212477	22	0
they	Jane	212473	212477	22	0
they	Mary	212473	212477	22	0
they	Lydia	212473	212477	22	0
they	Kitty	212473	212477	22	0
they	Mr. Bennet	212473	212477	22	0
they	Mrs. Bennet	212473	212477	22	0
he	Mr. Collins	212523	212525	22	0
Charlotte	Charlotte Lucas	212665	212674	22	0
he	Mr. Collins	212707	212709	22	0
Miss Lucas	Charlotte Lucas	212829	212839	22	0
him	Mr. Collins	212850	212853	22	0
he	Mr. Collins	212878	212880	22	0
him	Mr. Collins	212937	212940	22	0
she	Charlotte Lucas	212982	212985	22	0
her	Charlotte Lucas	213040	213043	22	0
Mr. Collins	Mr. Collins	213074	213085	22	1
them	Mr. Collins	213146	213150	22	1
them	Charlotte Lucas	213146	213150	22	1
both	Mr. Collins	213174	213178	22	1
both	Charlotte Lucas	213174	213178	22	1
they	Mr. Collins	213187	213191	22	1
they	Charlotte Lucas	213187	213191	22	1
he	Mr. Collins	213210	213212	22	1
her	Charlotte Lucas	213233	213236	22	1
him	Mr. Collins	213270	213273	22	1
men	NON-CHARACTER	213290	213293	22	1
lady	Charlotte Lucas	213362	213366	22	1
he	Mr. Collins	213442	213444	22	1
woman	NON-CHARACTER	213526	213531	22	1
Miss Lucas	Charlotte Lucas	213562	213572	22	1
who	Charlotte Lucas	213574	213577	22	1
him	Mr. Collins	213587	213590	22	1
Sir William	Sir William Lucas	213710	213721	22	1
Lady Lucas	Lady Lucas	213726	213736	22	1
Mr. Collins	Mr. Collins	213830	213841	22	1
daughter	Charlotte Lucas	213906	213914	22	1
whom	Charlotte Lucas	213919	213923	22	1
they	Sir William Lucas	213924	213928	22	1
they	Lady Lucas	213924	213928	22	1
Lady Lucas	Lady Lucas	214014	214024	22	1
Mr. Bennet	Mr. Bennet	214136	214146	22	1
Sir William	Sir William Lucas	214171	214182	22	1
Mr. Collins	Mr. Collins	214229	214240	22	1
he	Sir William Lucas	214329	214331	22	1
wife	Lady Lucas	214340	214344	22	1
family	Sir William Lucas	214400	214406	22	1
family	Lady Lucas	214400	214406	22	1
family	Charlotte Lucas	214400	214406	22	1
family	Lucas	214400	214406	22	1
family	Maria Lucas	214400	214406	22	1
family	OTHER	214400	214406	22	1
girls	Maria Lucas	214471	214476	22	1
girls	OTHER	214471	214476	22	1
they	Maria Lucas	214530	214534	22	1
they	OTHER	214530	214534	22	1
boys	Lucas	214570	214574	22	1
boys	OTHER	214570	214574	22	1
Charlotte	Charlotte Lucas	214616	214625	22	1
maid	Charlotte Lucas	214641	214645	22	1
Charlotte	Charlotte Lucas	214647	214656	22	1
herself	Charlotte Lucas	214657	214664	22	1
She	Charlotte Lucas	214689	214692	22	1
Mr. Collins	Mr. Collins	214793	214804	22	1
her	Charlotte Lucas	214901	214904	22	1
he	Mr. Collins	214934	214936	22	1
husband	Mr. Collins	214950	214957	22	1
men	NON-CHARACTER	214993	214996	22	1
women	NON-CHARACTER	215098	215103	22	1
she	Charlotte Lucas	215233	215236	22	1
she	Charlotte Lucas	215322	215325	22	1
Elizabeth Bennet	Elizabeth	215442	215458	22	1
she	Charlotte Lucas	215477	215480	22	1
person	NON-CHARACTER	215513	215519	22	1
Elizabeth	Elizabeth	215521	215530	22	1
her	Charlotte Lucas	215570	215573	22	1
She	Charlotte Lucas	215675	215678	22	1
her	Elizabeth	215696	215699	22	1
herself	Charlotte Lucas	215716	215723	22	1
Mr. Collins	Mr. Collins	215747	215758	22	1
he	Mr. Collins	215765	215767	22	1
any	NON-CHARACTER	215843	215846	22	1
family	Mrs. Bennet	215854	215860	22	1
family	Mr. Bennet	215854	215860	22	1
family	Jane	215854	215860	22	1
family	Elizabeth	215854	215860	22	1
family	Lydia	215854	215860	22	1
family	Mary	215854	215860	22	1
family	Kitty	215854	215860	22	1
he	Mr. Collins	216107	216109	22	1
he	Mr. Collins	216165	216167	22	1
he	Mr. Collins	216216	216218	22	3
any	NON-CHARACTER	216275	216278	22	3
family	Jane	216286	216292	22	3
family	Elizabeth	216286	216292	22	3
family	Mr. Bennet	216286	216292	22	3
family	Mrs. Bennet	216286	216292	22	3
family	Lydia	216286	216292	22	3
family	Mary	216286	216292	22	3
family	Kitty	216286	216292	22	3
ladies	Jane	216346	216352	22	3
ladies	Elizabeth	216346	216352	22	3
ladies	Mrs. Bennet	216346	216352	22	3
ladies	Lydia	216346	216352	22	3
ladies	Mary	216346	216352	22	3
ladies	Kitty	216346	216352	22	3
Mrs. Bennet	Mrs. Bennet	216378	216389	22	3
they	Mr. Bennet	216444	216448	22	3
they	Jane	216444	216448	22	3
they	Elizabeth	216444	216448	22	3
they	Lydia	216444	216448	22	3
they	Mary	216444	216448	22	3
they	Kitty	216444	216448	22	3
they	Mrs. Bennet	216444	216448	22	3
him	Mr. Collins	216466	216469	22	3
him	Mr. Collins	216527	216530	22	3
them	Mr. Bennet	216540	216544	22	3
them	Jane	216540	216544	22	3
them	Elizabeth	216540	216544	22	3
them	Lydia	216540	216544	22	3
them	Mary	216540	216544	22	3
them	Kitty	216540	216544	22	3
them	Mrs. Bennet	216540	216544	22	3
madam	Mrs. Bennet	216556	216561	22	3
he	Mr. Collins	216564	216566	22	3
I	Mr. Collins	216640	216641	22	3
you	Mrs. Bennet	216675	216678	22	3
I	Mr. Collins	216704	216705	22	3
myself	Mr. Collins	216718	216724	22	3
They	Mr. Bennet	216754	216758	22	3
They	Jane	216754	216758	22	3
They	Elizabeth	216754	216758	22	3
They	Lydia	216754	216758	22	3
They	Mary	216754	216758	22	3
They	Kitty	216754	216758	22	3
They	Mrs. Bennet	216754	216758	22	3
Mr. Bennet	Mr. Bennet	216784	216794	22	3
who	Mr. Bennet	216796	216799	22	3
Lady Catherine	"Right Honourable Lady Catherine de
Bourgh"	216894	216908	22	3
sir	Mr. Collins	216940	216943	22	3
You	Mr. Collins	216945	216948	22	3
relations	Jane	216973	216982	22	3
relations	Elizabeth	216973	216982	22	3
relations	Lydia	216973	216982	22	3
relations	Mary	216973	216982	22	3
relations	Kitty	216973	216982	22	3
relations	Mrs. Bennet	216973	216982	22	3
relations	Mr. Bennet	216973	216982	22	3
patroness	"Right Honourable Lady Catherine de
Bourgh"	217019	217028	22	3
sir	Mr. Bennet	217041	217044	22	3
Mr. Collins	Mr. Collins	217055	217066	22	3
I	Mr. Collins	217069	217070	22	3
you	Mr. Bennet	217098	217101	22	3
you	Mr. Bennet	217133	217136	22	3
ladyship	"Right Honourable Lady Catherine de
Bourgh"	217198	217206	22	3
You	Mr. Collins	217225	217228	22	3
you	Mr. Collins	217315	217318	22	3
us	Jane	217365	217367	22	3
us	Elizabeth	217365	217367	22	3
us	Lydia	217365	217367	22	3
us	Mary	217365	217367	22	3
us	Kitty	217365	217367	22	3
us	Mrs. Bennet	217365	217367	22	3
us	Mr. Bennet	217365	217367	22	3
I	Mr. Bennet	217381	217382	22	3
we	Jane	217462	217464	22	3
we	Elizabeth	217462	217464	22	3
we	Lydia	217462	217464	22	3
we	Mary	217462	217464	22	3
we	Kitty	217462	217464	22	3
we	Mrs. Bennet	217462	217464	22	3
we	Mr. Bennet	217462	217464	22	3
me	Mr. Collins	217499	217501	22	3
sir	Mr. Bennet	217511	217514	22	3
you	Mr. Bennet	217599	217602	22	3
me	Mr. Collins	217630	217632	22	3
cousins	Jane	217750	217757	22	3
cousins	Elizabeth	217750	217757	22	3
cousins	Lydia	217750	217757	22	3
cousins	Mary	217750	217757	22	3
cousins	Kitty	217750	217757	22	3
I	Mr. Collins	217824	217825	22	3
them	Jane	217864	217868	22	3
them	Elizabeth	217864	217868	22	3
them	Lydia	217864	217868	22	3
them	Mary	217864	217868	22	3
them	Kitty	217864	217868	22	3
Elizabeth	Elizabeth	217915	217924	22	3
ladies	Mrs. Bennet	217955	217961	22	10
ladies	Jane	217955	217961	22	10
ladies	Elizabeth	217955	217961	22	10
ladies	Lydia	217955	217961	22	10
ladies	Mary	217955	217961	22	10
ladies	Kitty	217955	217961	22	10
them	Mrs. Bennet	217984	217988	22	10
them	Jane	217984	217988	22	10
them	Elizabeth	217984	217988	22	10
them	Lydia	217984	217988	22	10
them	Mary	217984	217988	22	10
them	Kitty	217984	217988	22	10
he	Mr. Collins	218012	218014	22	10
Mrs. Bennet	Mrs. Bennet	218041	218052	22	10
he	Mr. Collins	218085	218087	22	10
one	NON-CHARACTER	218123	218126	22	10
girls	Mary	218142	218147	22	10
girls	Kitty	218142	218147	22	10
girls	Lydia	218142	218147	22	10
Mary	Mary	218153	218157	22	10
him	Mr. Collins	218197	218200	22	10
She	Mary	218202	218205	22	10
any	Kitty	218243	218246	22	10
any	Lydia	218243	218246	22	10
any	Jane	218243	218246	22	10
any	Elizabeth	218243	218246	22	10
others	Kitty	218254	218260	22	10
others	Lydia	218254	218260	22	10
others	Jane	218254	218260	22	10
others	Elizabeth	218254	218260	22	10
her	Mary	218321	218324	22	10
herself	Mary	218362	218369	22	10
she	Mary	218371	218374	22	10
himself	Mr. Collins	218422	218429	22	10
he	Mr. Collins	218458	218460	22	10
companion	Mr. Collins	218491	218500	22	10
Miss Lucas	Charlotte Lucas	218571	218581	22	10
Elizabeth	Elizabeth	218644	218653	22	10
Mr. Collins	Mr. Collins	218711	218722	22	10
himself	Mr. Collins	218734	218741	22	10
friend	Mr. Collins	218759	218765	22	10
Elizabeth	Elizabeth	218787	218796	22	10
Charlotte	Charlotte Lucas	218834	218843	22	10
him	Mr. Collins	218860	218863	22	10
she	Elizabeth	218905	218908	22	10
him	Mr. Collins	218925	218928	22	10
herself	Elizabeth	218929	218936	22	10
she	Elizabeth	219036	219039	22	10
Mr. Collins	Mr. Collins	219080	219091	22	10
Charlotte	Charlotte Lucas	219101	219110	22	10
Miss Lucas	Charlotte Lucas	219155	219165	22	10
she	Charlotte Lucas	219307	219310	22	10
she	Charlotte Lucas	219321	219324	22	10
you	Elizabeth	219387	219390	22	10
Eliza	Elizabeth	219413	219418	22	10
you	Elizabeth	219423	219426	22	10
Mr. Collins	Mr. Collins	219452	219463	22	10
woman	NON-CHARACTER	219494	219499	22	10
he	Mr. Collins	219524	219526	22	10
you	Elizabeth	219563	219566	22	10
Elizabeth	Elizabeth	219574	219583	22	15
herself	Elizabeth	219604	219611	22	15
her	Elizabeth	219754	219757	22	15
she	Elizabeth	219768	219771	22	15
her	Charlotte Lucas	219779	219782	22	15
I	Charlotte Lucas	219811	219812	22	15
you	Elizabeth	219822	219825	22	15
Charlotte	Charlotte Lucas	219848	219857	22	15
You	Elizabeth	219860	219863	22	15
Mr. Collins	Mr. Collins	219917	219928	22	15
you	Elizabeth	219950	219953	22	15
you	Elizabeth	219964	219967	22	15
I	Charlotte Lucas	220000	220001	22	15
you	Elizabeth	220007	220010	22	15
I	Charlotte Lucas	220039	220040	22	15
I	Charlotte Lucas	220052	220053	22	15
you	Elizabeth	220071	220074	22	15
I	Charlotte Lucas	220081	220082	22	15
I	Charlotte Lucas	220094	220095	22	15
Mr. Collins	Mr. Collins	220141	220152	22	15
I	Charlotte Lucas	220201	220202	22	15
him	Mr. Collins	220249	220252	22	15
people	NON-CHARACTER	220272	220278	22	15
Elizabeth	Elizabeth	220323	220332	22	15
they	Charlotte Lucas	220393	220397	22	15
they	Elizabeth	220393	220397	22	15
family	Mr. Bennet	220426	220432	22	15
family	Mrs. Bennet	220426	220432	22	15
family	Elizabeth	220426	220432	22	15
family	Jane	220426	220432	22	15
family	Kitty	220426	220432	22	15
family	Lydia	220426	220432	22	15
family	Mary	220426	220432	22	15
rest	Mr. Bennet	220414	220418	22	15
rest	Mrs. Bennet	220414	220418	22	15
rest	Jane	220414	220418	22	15
rest	Kitty	220414	220418	22	15
rest	Lydia	220414	220418	22	15
rest	Mary	220414	220418	22	15
Charlotte	Charlotte Lucas	220434	220443	22	15
Elizabeth	Elizabeth	220474	220483	22	15
she	Elizabeth	220517	220520	22	15
she	Elizabeth	220558	220561	22	15
Mr. Collins	Mr. Collins	220644	220655	22	15
She	Elizabeth	220759	220762	22	15
Charlotte	Charlotte Lucas	220784	220793	22	15
she	Elizabeth	220851	220854	22	15
she	Charlotte Lucas	220921	220924	22	15
Charlotte	Charlotte Lucas	220990	220999	22	15
wife	Charlotte Lucas	221004	221008	22	15
Mr. Collins	Mr. Collins	221012	221023	22	15
